id_point,datetime,tree_height,canopy_diam,biomasa_total_m3_kg,Sigma0_RATIO_VH_VV,Gamma0_RATIO_VH_VV
Y2-16,2025-06-20 12:06:00,2.17833333,3.299707,11.52927575223326,0.8087856546631045,0.8014688010944848
Y2-23,2025-06-20 12:19:00,2.265,2.4584695,7.524230993174424,0.8088293155638105,0.8015011848528554
O1-2,2025-06-20 16:57:00,3.8805,4.115181,41.59390723361064,0.8091398632477275,0.8017807128118716
O1-6,2025-06-20 17:51:00,3.91,4.3452005,48.02940330708781,0.8091537230748711,0.8018114469134129
O1-11,2025-06-20 17:20:00,3.74166667,3.452491,38.19352315934454,0.8091507983839855,0.8017895501945134
O1-16,2025-06-20 17:38:00,3.405,3.4905595,28.39865869945693,0.8091555953009034,0.8018341677440269
O1-23,2025-06-20 17:30:00,4.24,3.739572,50.76493286615964,0.8091566407109752,0.8018322521027635
O2-2,2025-06-20 16:37:00,2.54,3.762016,19.28993960389835,0.8091490348878719,0.8017899153737811
O2-6,2025-06-20 15:45:00,2.785,3.7778295,25.30842162417856,0.8091120036632721,0.8017539395065117
O2-11,2025-06-20 16:23:00,2.905,3.5370515,24.04853044186692,0.8091473928389412,0.8017792177550748
O2-16,2025-06-20 16:01:00,3.13833333,3.6668095,28.07797389008841,0.8091031907735196,0.8017480314412977
O2-23,2025-06-20 16:11:00,3.785,5.046264499999999,55.79644581209125,0.8091102772570463,0.8017486036481997
